,Date,avg_comments,avg_bookmarks,avg_shares,year,month,day,weekday,discount_today,avg_discount,Y_discount_1d,Y_avg_discount_1d,Y_discount_3d,Y_avg_discount_3d,Y_discount_7d,Y_avg_discount_7d,Y_discount_14d,Y_avg_discount_14d,discount_past1day,discount_past2day,discount_past3day,discount_past4day,discount_past5day,discount_past6day,discount_past7day,discount_min_past15day,discount_min_past30day,discount_max_past15day,discount_max_past30day,discount_mean_past15day,discount_mean_past30day,nday_away_Martin_Luther_King_Jr_Day,nday_away_Columbus_Day,nday_away_Labor_Day,nday_away_New_Years_Day,nday_away_Thanksgiving,nday_away_Memorial_Day,nday_away_Christmas_Day,nday_away_Washingtons_Birthday,nday_away_Veterans_Day,nday_away_Independence_Day,nday_away_anyholiday
0,2013-12-23,0.0,25.0,0.0,2013,12,23,0,1,20.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0.1690133154060661,1.4945338524781451e-05,4.433377746328046e-13,0.8322075006903012,0.24238362999515986,4.411719196996002e-24,0.9909707162514318,0.0008159878350721483,0.01831563888873418,7.342303069252906e-30,0.9909707162514318
1,2013-12-24,0.0,0.0,0.0,2013,12,24,1,0,0.0,0,0,0,0,0,0,0,0,1.0,,,,,,,,,,,,,0.19146289967870542,1.0855496653299211e-05,2.661680480344294e-13,0.8649144172389205,0.21591298091726488,8.849930260292657e-24,0.9977349953069204,0.0010495325222677763,0.015104783999608878,3.3579801181420154e-30,0.9977349953069204
2,2013-12-25,0.0,0.0,0.0,2013,12,25,2,0,0.0,0,0,0,0,0,0,0,0,0.0,1.0,,,,,,,,,,,,0.21591298091726488,7.849175678309677e-06,1.5907704423661305e-13,0.8948393168143698,0.19146289967870542,1.7672673139340898e-23,1.0,0.0013438120398556223,0.012400448027957603,1.5288129205360447e-30,1.0
3,2013-12-26,0.0,0.0,0.0,2013,12,26,3,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,,,,,,,,,,,0.24238362999515986,5.649744546949397e-06,9.464322195262531e-14,0.9216104472977248,0.1690133154060661,3.513136727828072e-23,0.9977349953069204,0.00171281936882384,0.010134227381485734,6.928847118330195e-31,0.9977349953069204
4,2013-12-27,0.0,0.0,0.0,2013,12,27,4,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,,,,,,,,,,0.2708683284704635,4.048218864632775e-06,5.605339617595758e-14,0.9448875602748896,0.14852091655171076,6.95213617456976e-23,0.9909707162514318,0.002173276647747907,0.008244689844825922,3.1260651434701166e-31,0.9909707162514318
5,2013-12-28,0.0,0.0,0.0,2013,12,28,5,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,0.30133083890551066,2.8875503621930407e-06,3.3047967556318703e-14,0.9643690948860915,0.12992260830505947,1.3695310990003124e-22,0.9797986738537043,0.002745041231162644,0.006677108163747914,1.4039947359662446e-31,0.9797986738537043
6,2013-12-29,0.0,0.0,0.0,2013,12,29,6,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,0.33370241075447066,2.050338474493025e-06,1.939625972470827e-14,0.9797986738537043,0.11313897801910364,2.685690341941217e-22,0.9643690948860915,0.003451541830562535,0.005383105741918052,6.277162123269114e-32,0.9797986738537043
7,2013-12-30,0.0,0.0,0.0,2013,12,30,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,0.36787944117144233,1.449278887147761e-06,1.1332393247975474e-14,0.9909707162514318,0.09807767964508253,5.242885663363464e-22,0.9448875602748896,0.004320239474094066,0.004320239474094066,2.793776256466959e-32,0.9909707162514318
8,2013-12-31,0.0,0.0,0.0,2013,12,31,1,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.40372170860859763,1.0197853771706282e-06,6.5910664926522654e-15,0.9977349953069204,0.08463666150622445,1.0188617225283034e-21,0.9216104472977248,0.005383105741918052,0.003451541830562535,1.237799517733768e-32,0.9977349953069204
9,2014-01-01,0.0,0.0,0.0,2014,1,1,2,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.441051290941554,7.143252560542774e-07,3.816103628946825e-15,1.0,0.07270717596764426,1.971017666651087e-21,0.8948393168143698,0.006677108163747914,0.002745041231162644,5.4593307522331215e-33,1.0
